id,tesoreria,fecha,proveedor,proyecto,concepto,moneda,importe,tc,estado,obs
BA-001,Buenos Aires,2026-04-10,PSI,L2 BA,Escalera 1 (import. BA),ARS,5500000.0,1.0,Programado,
BA-002,Buenos Aires,2026-04-24,PSI,L2 BA,Escalera 1 (import. BA),ARS,5500000.0,1.0,Programado,
BA-003,Buenos Aires,2026-05-08,PSI,L2 BA,Escalera 1 (import. BA),ARS,5500000.0,1.0,Programado,
BA-026,Buenos Aires,2026-05-08,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-027,Buenos Aires,2026-05-15,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-004,Buenos Aires,2026-05-22,PSI,L2 BA,Escalera 1 (import. BA),ARS,5500000.0,1.0,Programado,
BA-028,Buenos Aires,2026-05-22,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,4055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-029,Buenos Aires,2026-05-29,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,4055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-005,Buenos Aires,2026-06-05,PSI,L2 BA,Escalera 1 (import. BA),ARS,5000000.0,1.0,Programado,
BA-030,Buenos Aires,2026-06-05,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-031,Buenos Aires,2026-06-12,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,4055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-006,Buenos Aires,2026-06-19,PSI,L2 BA,Escalera 1 (import. BA),ARS,5000000.0,1.0,Programado,
BA-032,Buenos Aires,2026-06-19,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-033,Buenos Aires,2026-06-26,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,4055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-007,Buenos Aires,2026-07-03,PSI,L2 BA,Escalera 1 (import. BA),ARS,5000000.0,1.0,Programado,
BA-034,Buenos Aires,2026-07-03,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-035,Buenos Aires,2026-07-10,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,4055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-036,Buenos Aires,2026-07-17,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1055000.0,1.0,Programado,Ref. TC planilla: 1400
BA-037,Buenos Aires,2026-07-24,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,4051000.0,1.0,Programado,Ref. TC planilla: 1400
BA-100,Buenos Aires,2026-07-24,ACOSTA ADRIAN,L2 BA,Escalera 1 (import. BA),ARS,870000.0,1.0,Programado,
BA-008,Buenos Aires,2026-07-31,PSI,L2 BA,Escalera 1 (import. BA),ARS,5000000.0,1.0,Programado,
BA-038,Buenos Aires,2026-07-31,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1300000.0,1.0,Programado,Ref. TC planilla: 1400
BA-039,Buenos Aires,2026-08-07,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,3000000.0,1.0,Programado,Ref. TC planilla: 1400
BA-080,Buenos Aires,2026-08-07,M&S INGENIERIA,L2 BA,Escalera 1 (import. BA),ARS,1000000.0,1.0,Programado,
BA-101,Buenos Aires,2026-08-07,ACOSTA ADRIAN,L2 BA,Escalera 1 (import. BA),ARS,850000.0,1.0,Programado,
BA-009,Buenos Aires,2026-08-14,PSI,L2 BA,Escalera 1 (import. BA),ARS,5500000.0,1.0,Programado,
BA-040,Buenos Aires,2026-08-14,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1300000.0,1.0,Programado,Ref. TC planilla: 1400
BA-041,Buenos Aires,2026-08-21,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,3000000.0,1.0,Programado,Ref. TC planilla: 1400
BA-081,Buenos Aires,2026-08-21,M&S INGENIERIA,L2 BA,Escalera 1 (import. BA),ARS,1500000.0,1.0,Programado,
BA-010,Buenos Aires,2026-08-28,PSI,L2 BA,Escalera 1 (import. BA),ARS,5500000.0,1.0,Programado,
BA-042,Buenos Aires,2026-08-28,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,1300000.0,1.0,Programado,Ref. TC planilla: 1400
BA-120,Buenos Aires,2026-08-28,ING. DE SANTIS,L2 BA,Escalera 1 (import. BA),ARS,500000.0,1.0,Programado,
BA-043,Buenos Aires,2026-09-04,SCHMIDT,L2 BA,Escalera 1 (import. BA),ARS,3000000.0,1.0,Programado,Ref. TC planilla: 1400
BA-064,Buenos Aires,2026-09-04,CEARG,L2 BA,Escalera 1 (import. BA),ARS,2159500.0,1.0,Programado,Ref. TC planilla: 1465 | Ref. contrato USD: 8300
BA-082,Buenos Aires,2026-09-04,M&S INGENIERIA,L2 BA,Escalera 1 (import. BA),ARS,5000000.0,1.0,Programado,
BA-091,Buenos Aires,2026-09-04,RAMAC,L2 BA,Escalera 1 (import. BA),ARS,2000000.0,1.0,Programado,Ref. TC planilla: 1520 | Ref. contrato USD: 8669.5
BA-102,Buenos Aires,2026-09-04,ACOSTA ADRIAN,L2 BA,Escalera 1 (import. BA),ARS,1250000.0,1.0,Programado,
